league,season,week,team_norm,team_raw,pr,rank,sos,sos_rank
CFB,2024,1,,California,73.68,52,,
CFB,2024,1,,South Dakota State,73.57,53,,
CFB,2024,1,,BYU,73.46,54,,
CFB,2024,1,,Arizona State,73.4,55,,
CFB,2024,1,,Georgia Tech,73.09,56,,
CFB,2024,1,,UNLV,73.05,57,,
CFB,2024,1,,Tulane,72.76,58,,
CFB,2024,1,,Syracuse,72.63,59,,
CFB,2024,1,,Mississippi State,72.62,60,,
CFB,2024,1,,Appalachian State,72.56,61,,
CFB,2024,1,,Boston College,72.11,62,,
CFB,2024,1,,Cincinnati,72.04,63,,
CFB,2024,1,,UCL,72.04,64,,
CFB,2024,1,,Minnesota,71.85,65,,
CFB,2024,1,,Pittsburgh,71.3,66,,
CFB,2024,1,,James Madison,70.9,67,,
CFB,2024,1,,Liberty,70.87,68,,
CFB,2024,1,,Purdue,70.6,69,,
CFB,2024,1,,UTS,70.28,70,,
CFB,2024,1,,Indiana,70.04,71,,
CFB,2024,1,,North Dakota State,69.52,72,,
CFB,2024,1,,South Florida,69.42,73,,
CFB,2024,1,,Northwestern,69.34,74,,
CFB,2024,1,,Duke,68.82,75,,
CFB,2024,1,,Virginia,68.24,76,,
CFB,2024,1,,Fresno State,68.03,77,,
CFB,2024,1,,Coastal Carolina,67.69,78,,
CFB,2024,1,,Wake Forest,67.43,79,,
CFB,2024,1,,Michigan State,67.39,80,,
CFB,2024,1,,Toledo,67.11,81,,
CFB,2024,1,,Texas State,66.65,82,,
CFB,2024,1,,Houston,66.5,83,,
CFB,2024,1,,Louisiana-Lafayette,66.36,84,,
CFB,2024,1,,Miami-Ohio,65.56,85,,
CFB,2024,1,,Montana State,65.15,86,,
CFB,2024,1,,Stanford,65.14,87,,
CFB,2024,1,,Air Force,65.03,88,,
CFB,2024,1,,Montana,64.93,89,,
CFB,2024,1,,Marshall,64.7,90,,
CFB,2024,1,,North Texas,64.5,91,,
CFB,2024,1,,East Carolina,64.33,92,,
CFB,2024,1,,Vanderbilt,64.17,93,,
CFB,2024,1,,UAB,64.09,94,,
CFB,2024,1,,Georgia Southern,63.88,95,,
CFB,2024,1,,Arkansas State,63.83,96,,
CFB,2024,1,,Utah State,63.05,97,,
CFB,2024,1,,South Dakota,63,98,,
CFB,2024,1,,Wyoming,62.95,99,,
CFB,2024,1,,Old Dominion,62.79,100,,
CFB,2024,1,,Colorado State,62.76,101,,
CFB,2024,1,,San Diego State,62.64,102,,
CFB,2024,1,,Western Kentucky,62.27,103,,
CFB,2024,1,,Troy,62.22,104,,
CFB,2024,1,,Florida Atlantic,62,105,,
CFB,2024,1,,Northern Illinois,61.78,106,,
CFB,2024,1,,Bowling Green,61.7,107,,
CFB,2024,1,,Army West Point,61.55,108,,
CFB,2024,1,,Central Arkansas,61.36,109,,
CFB,2024,1,,San Jose State,61.16,110,,
CFB,2024,1,,Navy,60.46,111,,
CFB,2024,1,,South Alabama,60.05,112,,
CFB,2024,1,,Western Michigan,59.73,113,,
CFB,2024,1,,Ohio,59.69,114,,
CFB,2024,1,,Rice,59.63,115,,
CFB,2024,1,,Hawai'i,59.47,116,,
CFB,2024,1,,Sam Houston State,59.42,117,,
CFB,2024,1,,North Dakota,59.4,118,,
CFB,2024,1,,Southern Illinois,59.27,119,,
CFB,2024,1,,Central Michigan,59.22,120,,
CFB,2024,1,,Jacksonville State,59.05,121,,
CFB,2024,1,,Illinois State,58.7,122,,
CFB,2024,1,,Idaho,58.37,123,,
CFB,2024,1,,Georgia State,58.06,124,,
CFB,2024,1,,Villanova,57.61,125,,
CFB,2024,1,,Tulsa,57.33,126,,
CFB,2024,1,,Nevada,56.35,127,,
CFB,2024,1,,UC Davis,56.31,128,,
CFB,2024,1,,Southern Miss,55.97,129,,
CFB,2024,1,,New Mexico,55.87,130,,
CFB,2024,1,,Ball State,55.28,131,,
CFB,2024,1,,Weber State,54.99,132,,
CFB,2024,1,,Eastern Washington,54.86,133,,
CFB,2024,1,,Eastern Michigan,54.77,134,,
CFB,2024,1,,Charlotte,54.55,135,,
CFB,2024,1,,Missouri State,54.44,136,,
CFB,2024,1,,Youngstown State,54.38,137,,
CFB,2024,1,,Yale,54.33,138,,
CFB,2024,1,,Sacramento State,54.15,139,,
CFB,2024,1,,New Mexico State,54.13,140,,
CFB,2024,1,,Connecticut,53.82,141,,
CFB,2024,1,,Buffalo,53.53,142,,
CFB,2024,1,,Northern Iowa,53.51,143,,
CFB,2024,1,,Chattanooga,53.22,144,,
CFB,2024,1,,Incarnate Word,53.22,145,,
CFB,2024,1,,Louisiana Tech,53.22,146,,
CFB,2024,1,,William & Mary,53,147,,
CFB,2024,1,,Richmond,52.96,148,,
CFB,2024,1,,Middle Tennessee,52.65,149,,
CFB,2024,1,,UTEP,52.53,150,,
CFB,2024,1,,Tennessee-Martin,52.4,151,,
CFB,2024,1,,Delaware,52.2,152,,
CFB,2024,1,,Tarleton State,52.16,153,,
CFB,2024,1,,Fla. International,52.08,154,,
CFB,2024,1,,Harvard,51.58,155,,
CFB,2024,1,,Mercer,51.24,156,,
CFB,2024,1,,LouisianaMonroe(ULM),50.64,157,,
CFB,2024,1,,Southern Utah,50.61,158,,
CFB,2024,1,,Western Carolina,50.49,159,,
CFB,2024,1,,Akron,50.33,160,,
CFB,2024,1,,Albany-NY,50.33,161,,
CFB,2024,1,,Temple,50.14,162,,
CFB,2024,1,,Furman,50.14,163,,
CFB,2024,1,,Elon,48.99,164,,
CFB,2024,1,,Nicholls State,48.96,165,,
CFB,2024,1,,SE Missouri State,48.75,166,,
CFB,2024,1,,Lafayette,48.48,167,,
CFB,2024,1,,Pennsylvania,48.22,168,,
CFB,2024,1,,Northern Arizona,48.17,169,,
CFB,2024,1,,Holy Cross,47.92,170,,
CFB,2024,1,,Eastern Kentucky,47.47,171,,
CFB,2024,1,,Rhode Island,47.35,172,,
CFB,2024,1,,Towson,47.29,173,,
CFB,2024,1,,Abilene Christian,47.14,174,,
CFB,2024,1,,Princeton,47.14,175,,
CFB,2024,1,,Kennesaw State,47.06,176,,
CFB,2024,1,,Kent State,46.89,177,,
CFB,2024,1,,Idaho State,46.87,178,,
CFB,2024,1,,Dartmouth,46.66,179,,
CFB,2024,1,,Stephen F. Austin,46.53,180,,
CFB,2024,1,,New Hampshire,46.23,181,,
CFB,2024,1,,Austin Peay,45.91,182,,
CFB,2024,1,,Campbell,45.65,183,,
CFB,2024,1,,Eastern Illinois,45.55,184,,
CFB,2024,1,,NC Central,45.22,185,,
CFB,2024,1,,Monmouth-NJ,45.01,186,,
CFB,2024,1,,McNeese State,44.58,187,,
CFB,2024,1,,Indiana State,44.39,188,,
CFB,2024,1,,Lamar,44.28,189,,
CFB,2024,1,,East Tennessee State,43.96,190,,
CFB,2024,1,,Fordham,43.82,191,,
CFB,2024,1,,Samford,43.72,192,,
CFB,2024,1,,SE Louisiana,43.51,193,,
CFB,2024,1,,Tennessee State,43.51,194,,
CFB,2024,1,,Portland State,43.49,195,,
CFB,2024,1,,Alabama State,43.42,196,,
CFB,2024,1,,Massachusetts,42.62,197,,
CFB,2024,1,,Brown,42.23,198,,
CFB,2024,1,,Gardner-Webb,42.1,199,,
CFB,2024,1,,Duquesne,42.08,200,,
CFB,2024,1,,Florida A&M,41.72,201,,
CFB,2024,1,,Maine,41.62,202,,
CFB,2024,1,,Murray State,41.35,203,,
CFB,2024,1,,Alcorn State,41.3,204,,
CFB,2024,1,,Howard,40.9,205,,
CFB,2024,1,,NC A&T,40.84,206,,
CFB,2024,1,,Georgetown,40.58,207,,
CFB,2024,1,,Wofford,40.54,208,,
CFB,2024,1,,Cal Poly-SLO,40.36,209,,
CFB,2024,1,,Hampton,40.29,210,,
CFB,2024,1,,Colgate,40.26,211,,
CFB,2024,1,,Cornell,40.2,212,,
CFB,2024,1,,Jackson State,40.19,213,,
CFB,2024,1,,Tennessee Tech,39.81,214,,
CFB,2024,1,,North Alabama,39.75,215,,
CFB,2024,1,,Drake,39.58,216,,
CFB,2024,1,,Morgan State,39.36,217,,
CFB,2024,1,,VMI,39.09,218,,
CFB,2024,1,,Charleston Southern,39.07,219,,
CFB,2024,1,,Saint Francis-Pa.,38.41,220,,
CFB,2024,1,,Merrimack,38.36,221,,
CFB,2024,1,,St. Thomas-Mn.,38.34,222,,
CFB,2024,1,,Columbia,38.04,223,,
CFB,2024,1,,Bryant,37.96,224,,
CFB,2024,1,,Robert Morris,37.85,225,,
CFB,2024,1,,Grambling State,37.8,226,,
CFB,2024,1,,Houston Christian,37.64,227,,
CFB,2024,1,,Lindenwood,37.45,228,,
CFB,2024,1,,Utah Tech,37.38,229,,
CFB,2024,1,,San Diego,36.99,230,,
CFB,2024,1,,SC State,36.79,231,,
CFB,2024,1,,Northern Colorado,36.77,232,,
CFB,2024,1,,The Citadel,36.77,233,,
CFB,2024,1,,Texas A&M-Commerce,36.72,234,,
CFB,2024,1,,Southern U.,36.65,235,,
CFB,2024,1,,Butler,36.48,236,,
CFB,2024,1,,Prairie View A&M,36.09,237,,
CFB,2024,1,,Dayton,35.94,238,,
CFB,2024,1,,Alabama A&M,35.77,239,,
CFB,2024,1,,Davidson,35.63,240,,
CFB,2024,1,,LIU Post,35.59,241,,
CFB,2024,1,,Sacred Heart,35.56,242,,
CFB,2024,1,,Norfolk State,35.08,243,,
CFB,2024,1,,Stony Brook,34.87,244,,
CFB,2024,1,,Lehigh,34.84,245,,
CFB,2024,1,,Texas Southern,34.81,246,,
CFB,2024,1,,Bethune-Cookman,33.95,247,,
CFB,2024,1,,Western Illinois,33.59,248,,
CFB,2024,1,,Delaware State,33.47,249,,
CFB,2024,1,,Stonehill College,32.39,250,,
CFB,2024,1,,Northwestern State,32.25,251,,
CFB,2024,1,,West Georgia,32.19,252,,
CFB,2024,1,,Bucknell,31.86,253,,
CFB,2024,1,,Morehead State,31.47,254,,
CFB,2024,1,,Valparaiso,31.06,255,,
CFB,2024,1,,Ark.-Pine Bluff,30.96,256,,
CFB,2024,1,,Presbyterian College,30.9,257,,
CFB,2024,1,,Marist,30.51,258,,
CFB,2024,1,,Wagner,30.06,259,,
CFB,2024,1,,Miss. Valley State,29.21,260,,
CFB,2024,1,,Central Connecticut,28.28,261,,
CFB,2024,1,,Stetson,28.1,262,,
CFB,2024,1,,Mercyhurst,27.3,263,,
CFB,2024,2,,Georgia,95.85,1,,
CFB,2024,2,,Texas,95.56,2,,
CFB,2024,2,,Ohio State,92.99,3,,
CFB,2024,2,,Alabama,92.5,4,,
CFB,2024,2,,Mississippi,90.06,5,,
CFB,2024,2,,Tennessee,87.54,6,,
CFB,2024,2,,Oregon,86.89,7,,
CFB,2024,2,,Utah,86.2,8,,
CFB,2024,2,,Notre Dame,85.75,9,,
CFB,2024,2,,Penn State,85.6,10,,
CFB,2024,2,,Missouri,85.52,11,,
CFB,2024,2,,Southern California,85.19,12,,
CFB,2024,2,,Michigan,84.12,13,,
CFB,2024,2,,Oklahoma,84,14,,
CFB,2024,2,,Kansas State,83.93,15,,
CFB,2024,2,,LSU,83.91,16,,
CFB,2024,2,,Oklahoma State,83.75,17,,
CFB,2024,2,,Miami-Florida,83.53,18,,
CFB,2024,2,,Clemson,82.98,19,,
CFB,2024,2,,Texas A&M,82.83,20,,
CFB,2024,2,,Louisville,82.6,21,,
CFB,2024,2,,Iowa,81.81,22,,
CFB,2024,2,,Central Florida(UCF),80.96,23,,
CFB,2024,2,,Iowa State,80.48,24,,
CFB,2024,2,,Auburn,80.19,25,,
CFB,2024,2,,Nebraska,80.04,26,,
CFB,2024,2,,Florida State,79.58,27,,
CFB,2024,2,,Kansas,78.18,28,,
CFB,2024,2,,Boise State,78.08,29,,
CFB,2024,2,,TCU,78.03,30,,
CFB,2024,2,,South Carolina,77.56,31,,
CFB,2024,2,,West Virginia,77.28,32,,
CFB,2024,2,,Washington,77.18,33,,
CFB,2024,2,,Wisconsin,77,34,,
CFB,2024,2,,Washington State,76.57,35,,
CFB,2024,2,,Baylor,76.49,36,,
CFB,2024,2,,Arizona,76.39,37,,
CFB,2024,2,,Florida,76.31,38,,
CFB,2024,2,,Memphis,76.04,39,,
CFB,2024,2,,Kentucky,75.99,40,,
CFB,2024,2,,Arkansas,75.8,41,,
CFB,2024,2,,SMU,75.78,42,,
CFB,2024,2,,California,75.73,43,,
CFB,2024,2,,Illinois,75.64,44,,
CFB,2024,2,,Maryland,75.55,45,,
CFB,2024,2,,Rutgers,75.33,46,,
CFB,2024,2,,Oregon State,75.19,47,,
CFB,2024,2,,Virginia Tech,75.15,48,,
CFB,2024,2,,UNLV,74.69,49,,
CFB,2024,2,,BYU,74.67,50,,
CFB,2024,2,,Arizona State,74.67,51,,
CFB,2024,2,,Minnesota,74.56,52,,
CFB,2024,2,,North Carolina,73.67,53,,
CFB,2024,2,,Tulane,73.56,54,,
CFB,2024,2,,Syracuse,73.52,55,,
CFB,2024,2,,Indiana,73.5,56,,
CFB,2024,2,,Georgia Tech,73.48,57,,
CFB,2024,2,,Boston College,73.33,58,,
CFB,2024,2,,South Dakota State,73.04,59,,
CFB,2024,2,,Colorado,72.87,60,,
CFB,2024,2,,Mississippi State,72.51,61,,
CFB,2024,2,,NC State,72.23,62,,
CFB,2024,2,,Purdue,71.86,63,,
CFB,2024,2,,UCL,71.8,64,,
CFB,2024,2,,Pittsburgh,71.76,65,,
CFB,2024,2,,North Dakota State,71.74,66,,
CFB,2024,2,,Texas Tech,71.58,67,,
CFB,2024,2,,Cincinnati,71.53,68,,
CFB,2024,2,,Texas State,70.52,69,,
CFB,2024,2,,Duke,70.37,70,,
CFB,2024,2,,South Florida,70.35,71,,
CFB,2024,2,,Houston,69.51,72,,
CFB,2024,2,,Liberty,69.5,73,,
CFB,2024,2,,Michigan State,69.48,74,,
CFB,2024,2,,Virginia,68.68,75,,
CFB,2024,2,,Appalachian State,68.5,76,,
CFB,2024,2,,Northwestern,68.39,77,,
CFB,2024,2,,James Madison,68.24,78,,
CFB,2024,2,,Coastal Carolina,68.08,79,,
CFB,2024,2,,Fresno State,67.93,80,,
CFB,2024,2,,Wake Forest,67.59,81,,
CFB,2024,2,,Louisiana-Lafayette,67.42,82,,
CFB,2024,2,,Vanderbilt,67.2,83,,
CFB,2024,2,,Stanford,66.8,84,,
CFB,2024,2,,Toledo,66.11,85,,
CFB,2024,2,,East Carolina,66.02,86,,
CFB,2024,2,,UTS,65.6,87,,
CFB,2024,2,,Northern Illinois,65.47,88,,
CFB,2024,2,,Army West Point,64.77,89,,
CFB,2024,2,,Georgia Southern,64.6,90,,
CFB,2024,2,,Marshall,64.52,91,,
CFB,2024,2,,Miami-Ohio,64.48,92,,
CFB,2024,2,,Bowling Green,64.25,93,,
CFB,2024,2,,Rice,64.06,94,,
CFB,2024,2,,Montana,63.85,95,,
CFB,2024,2,,Arkansas State,63.72,96,,
CFB,2024,2,,Western Kentucky,63.6,97,,
CFB,2024,2,,North Texas,63.59,98,,
CFB,2024,2,,San Jose State,63.51,99,,
CFB,2024,2,,Montana State,63.13,100,,
CFB,2024,2,,Navy,62.92,101,,
CFB,2024,2,,Old Dominion,62.81,102,,
CFB,2024,2,,Air Force,62.78,103,,
CFB,2024,2,,South Dakota,62.7,104,,
CFB,2024,2,,Troy,62.23,105,,
CFB,2024,2,,San Diego State,61.79,106,,
CFB,2024,2,,Wyoming,61.55,107,,
CFB,2024,2,,Colorado State,61.46,108,,
CFB,2024,2,,Central Arkansas,61.09,109,,
CFB,2024,2,,Ohio,61.01,110,,
CFB,2024,2,,North Dakota,60.9,111,,
CFB,2024,2,,Hawai'i,60.51,112,,
CFB,2024,2,,UAB,60.34,113,,
CFB,2024,2,,Utah State,60.33,114,,
CFB,2024,2,,Florida Atlantic,60.25,115,,
CFB,2024,2,,Idaho,60.19,116,,
CFB,2024,2,,South Alabama,59.84,117,,
CFB,2024,2,,Villanova,59.36,118,,
CFB,2024,2,,Southern Illinois,59.16,119,,
CFB,2024,2,,Sam Houston State,58.93,120,,
CFB,2024,2,,Jacksonville State,58.79,121,,
CFB,2024,2,,Tulsa,58.53,122,,
CFB,2024,2,,Ball State,58.1,123,,
CFB,2024,2,,Nevada,57.96,124,,
CFB,2024,2,,Western Michigan,57.63,125,,
CFB,2024,2,,Georgia State,57.56,126,,
CFB,2024,2,,Fla. International,57.36,127,,
CFB,2024,2,,Southern Miss,57.07,128,,
CFB,2024,2,,Weber State,56.96,129,,
CFB,2024,2,,Connecticut,56.87,130,,
CFB,2024,2,,Illinois State,56.77,131,,
CFB,2024,2,,Central Michigan,56.43,132,,
CFB,2024,2,,New Mexico,56.25,133,,
CFB,2024,2,,New Mexico State,56.21,134,,
CFB,2024,2,,Youngstown State,55.91,135,,
CFB,2024,2,,LouisianaMonroe(ULM),55.76,136,,
CFB,2024,2,,Charlotte,55.73,137,,
CFB,2024,2,,UC Davis,55.72,138,,
CFB,2024,2,,Eastern Michigan,55.64,139,,
CFB,2024,2,,Louisiana Tech,55.38,140,,
CFB,2024,2,,Yale,54.8,141,,
CFB,2024,2,,Sacramento State,54.42,142,,
CFB,2024,2,,Incarnate Word,54.04,143,,
CFB,2024,2,,Delaware,54.02,144,,
CFB,2024,2,,Buffalo,53.99,145,,
CFB,2024,2,,Missouri State,53.9,146,,
CFB,2024,2,,Mercer,53.84,147,,
CFB,2024,2,,William & Mary,53.57,148,,
CFB,2024,2,,Chattanooga,53.56,149,,
CFB,2024,2,,Eastern Washington,53.24,150,,
CFB,2024,2,,Northern Iowa,53.17,151,,
CFB,2024,2,,Middle Tennessee,52.75,152,,
CFB,2024,2,,Tarleton State,52.32,153,,
CFB,2024,2,,Harvard,52.09,154,,
CFB,2024,2,,Elon,51.89,155,,
CFB,2024,2,,Tennessee-Martin,51.84,156,,
CFB,2024,2,,UTEP,51.83,157,,
CFB,2024,2,,Nicholls State,51.7,158,,
CFB,2024,2,,Southern Utah,51.68,159,,
CFB,2024,2,,Northern Arizona,51.04,160,,
CFB,2024,2,,Richmond,50.72,161,,
CFB,2024,2,,SE Missouri State,50.41,162,,
CFB,2024,2,,Akron,50.17,163,,
CFB,2024,2,,Albany-NY,49.88,164,,
CFB,2024,2,,Lafayette,49.2,165,,
CFB,2024,2,,Western Carolina,49.04,166,,
CFB,2024,2,,Pennsylvania,48.76,167,,
CFB,2024,2,,Campbell,48.36,168,,
CFB,2024,2,,Temple,48.29,169,,
CFB,2024,2,,Furman,48.13,170,,
CFB,2024,2,,Princeton,47.69,171,,
CFB,2024,2,,Abilene Christian,47.6,172,,
CFB,2024,2,,Holy Cross,47.42,173,,
CFB,2024,2,,Towson,47.42,174,,
CFB,2024,2,,Stephen F. Austin,47.35,175,,
CFB,2024,2,,Idaho State,47.31,176,,
CFB,2024,2,,Dartmouth,47.22,177,,
CFB,2024,2,,New Hampshire,47.07,178,,
CFB,2024,2,,Kennesaw State,46.65,179,,
CFB,2024,2,,Eastern Illinois,46.44,180,,
CFB,2024,2,,Gardner-Webb,46.15,181,,
CFB,2024,2,,Austin Peay,45.8,182,,
CFB,2024,2,,Rhode Island,45.78,183,,
CFB,2024,2,,Eastern Kentucky,45.69,184,,
CFB,2024,2,,Massachusetts,45.53,185,,
CFB,2024,2,,McNeese State,45.46,186,,
CFB,2024,2,,Kent State,45.28,187,,
CFB,2024,2,,Lamar,45.08,188,,
CFB,2024,2,,Monmouth-NJ,44.88,189,,
CFB,2024,2,,Drake,44.69,190,,
CFB,2024,2,,Samford,44.16,191,,
CFB,2024,2,,Indiana State,43.83,192,,
CFB,2024,2,,Wofford,43.81,193,,
CFB,2024,2,,East Tennessee State,43.65,194,,
CFB,2024,2,,NC Central,43.51,195,,
CFB,2024,2,,Maine,43.44,196,,
CFB,2024,2,,Georgetown,43.35,197,,
CFB,2024,2,,Tennessee Tech,43.33,198,,
CFB,2024,2,,Brown,42.85,199,,
CFB,2024,2,,Alabama State,42.74,200,,
CFB,2024,2,,Florida A&M,42.68,201,,
CFB,2024,2,,SE Louisiana,42.45,202,,
CFB,2024,2,,Portland State,42.38,203,,
CFB,2024,2,,Tennessee State,42.33,204,,
CFB,2024,2,,Charleston Southern,42.18,205,,
CFB,2024,2,,North Alabama,41.49,206,,
CFB,2024,2,,Saint Francis-Pa.,41.26,207,,
CFB,2024,2,,Murray State,41.04,208,,
CFB,2024,2,,Cornell,40.85,209,,
CFB,2024,2,,NC A&T,40.84,210,,
CFB,2024,2,,Cal Poly-SLO,40.69,211,,
CFB,2024,2,,Fordham,40.64,212,,
CFB,2024,2,,Morgan State,40.55,213,,
CFB,2024,2,,Hampton,40.54,214,,
CFB,2024,2,,Jackson State,40.49,215,,
CFB,2024,2,,Duquesne,40.37,216,,
CFB,2024,2,,Howard,40.28,217,,
CFB,2024,2,,Colgate,40.28,218,,
CFB,2024,2,,St. Thomas-Mn.,40,219,,
CFB,2024,2,,Butler,39.77,220,,
CFB,2024,2,,San Diego,39.46,221,,
CFB,2024,2,,Alcorn State,39.13,222,,
CFB,2024,2,,Dayton,38.98,223,,
CFB,2024,2,,Lehigh,38.8,224,,
CFB,2024,2,,Lindenwood,38.74,225,,
CFB,2024,2,,Columbia,38.72,226,,
CFB,2024,2,,Texas A&M-Commerce,38.58,227,,
CFB,2024,2,,SC State,38.54,228,,
CFB,2024,2,,Northern Colorado,38.48,229,,
CFB,2024,2,,Grambling State,38.11,230,,
CFB,2024,2,,VMI,38.02,231,,
CFB,2024,2,,Stony Brook,37.95,232,,
CFB,2024,2,,Robert Morris,37.93,233,,
CFB,2024,2,,Prairie View A&M,37.8,234,,
CFB,2024,2,,Houston Christian,37.57,235,,
CFB,2024,2,,Bryant,37.44,236,,
CFB,2024,2,,LIU Post,36.98,237,,
CFB,2024,2,,Utah Tech,36.95,238,,
CFB,2024,2,,The Citadel,36.94,239,,
CFB,2024,2,,Merrimack,36.61,240,,
CFB,2024,2,,Southern U.,36.23,241,,
CFB,2024,2,,Sacred Heart,35.81,242,,
CFB,2024,2,,Alabama A&M,35.55,243,,
CFB,2024,2,,Norfolk State,35.54,244,,
CFB,2024,2,,Bucknell,35.09,245,,
CFB,2024,2,,Davidson,34.82,246,,
CFB,2024,2,,Delaware State,34.38,247,,
CFB,2024,2,,West Georgia,33.97,248,,
CFB,2024,2,,Bethune-Cookman,33.89,249,,
CFB,2024,2,,Northwestern State,32.71,250,,
CFB,2024,2,,Central Connecticut,32.45,251,,
CFB,2024,2,,Western Illinois,32.37,252,,
CFB,2024,2,,Texas Southern,32.33,253,,
CFB,2024,2,,Morehead State,32.25,254,,
CFB,2024,2,,Valparaiso,31.34,255,,
CFB,2024,2,,Miss. Valley State,31.04,256,,
CFB,2024,2,,Ark.-Pine Bluff,31.04,257,,
CFB,2024,2,,Presbyterian College,30.48,258,,
CFB,2024,2,,Mercyhurst,30.2,259,,
CFB,2024,2,,Stonehill College,30.06,260,,
CFB,2024,2,,Marist,30.05,261,,
CFB,2024,2,,Stetson,28.93,262,,
CFB,2024,2,,Wagner,27.88,263,,
CFB,2024,3,,Texas,95.09,1,,
CFB,2024,3,,Georgia,93.59,2,,
CFB,2024,3,,Alabama,92.82,3,,
CFB,2024,3,,Ohio State,92.37,4,,
CFB,2024,3,,Mississippi,89.95,5,,
CFB,2024,3,,Oregon,88.9,6,,
CFB,2024,3,,Notre Dame,88.27,7,,
CFB,2024,3,,Tennessee,87.96,8,,
CFB,2024,3,,Penn State,85.6,9,,
CFB,2024,3,,Miami-Florida,85.02,10,,
CFB,2024,3,,Utah,84.84,11,,
CFB,2024,3,,Kansas State,84.84,12,,
CFB,2024,3,,Missouri,84.75,13,,
CFB,2024,3,,Southern California,84.67,14,,
CFB,2024,3,,Oklahoma,84.31,15,,
CFB,2024,3,,LSU,83.96,16,,
CFB,2024,3,,Oklahoma State,83.82,17,,
CFB,2024,3,,Texas A&M,83.51,18,,
CFB,2024,3,,Michigan,82.88,19,,
CFB,2024,3,,Clemson,82.52,20,,
CFB,2024,3,,Louisville,82.03,21,,
CFB,2024,3,,Iowa,80.82,22,,
CFB,2024,3,,Central Florida(UCF),80.63,23,,
CFB,2024,3,,Iowa State,80.39,24,,
CFB,2024,3,,Auburn,79.7,25,,
CFB,2024,3,,Nebraska,79.47,26,,
CFB,2024,3,,Florida State,78.78,27,,
CFB,2024,3,,Boise State,78.36,28,,
CFB,2024,3,,TCU,78.19,29,,
CFB,2024,3,,Kentucky,77.64,30,,
CFB,2024,3,,South Carolina,77.64,31,,
CFB,2024,3,,Kansas,77.5,32,,
CFB,2024,3,,Memphis,77.21,33,,
CFB,2024,3,,Baylor,77.08,34,,
CFB,2024,3,,Washington State,77.05,35,,
CFB,2024,3,,Maryland,76.44,36,,
CFB,2024,3,,Washington,76.25,37,,
CFB,2024,3,,Virginia Tech,75.97,38,,
CFB,2024,3,,West Virginia,75.93,39,,
CFB,2024,3,,SMU,75.86,40,,
CFB,2024,3,,California,75.77,41,,
CFB,2024,3,,Florida,75.69,42,,
CFB,2024,3,,Wisconsin,75.63,43,,
CFB,2024,3,,Texas Tech,75.47,44,,
CFB,2024,3,,UNLV,75.34,45,,
CFB,2024,3,,Arizona,75.19,46,,
CFB,2024,3,,BYU,75.12,47,,
CFB,2024,3,,Indiana,75.11,48,,
CFB,2024,3,,Rutgers,75.07,49,,
CFB,2024,3,,Minnesota,75.03,50,,
